date,type,event,location,entities
1894-07-14,match,Udokumentowany mecz podczas II Zlotu Sokoła,Lwów,"Lwów;Kraków;Włodzimierz Chomicki"
1903,club,Założenie Lechii Lwów,Lwów,"Lechia Lwów"
1903,club,Założenie Czarnych Lwów,Lwów,"Czarni Lwów"
1904,club,Założenie Pogoni Lwów,Lwów,"Pogoń Lwów"
1906,club,Założenie Cracovii,Kraków,"Cracovia"
1906,club,Pojawienie się Wisły Kraków,Kraków,"Wisła Kraków"
1911,organization,Powołanie Związku Footbalistów Polskich,Galicja,"ZFP"
1913,championship,Pierwsze mistrzostwa Galicji,Galicja,"Cracovia;Pogoń Lwów;Czarni Lwów;Wisła Kraków"
1914,war,Wybuch I wojny światowej,Europa,"polskie kluby"
1919-12-20,organization,Powołanie PZPN,Warszawa,"PZPN;Edward Cetnarowski;Józef Lustgarten;Jan Polakiewicz;Jan Weyssenhoff"
1921,championship,Pierwsze ukończone mistrzostwo Polski,"Polska","Cracovia;Józef Kałuża"
1921-12-18,match,Pierwszy oficjalny mecz reprezentacji Polski,Budapeszt,"Polska;Węgry"
1923,organization,PZPN członkiem FIFA,"Polska","PZPN;FIFA"
1924,event,Debiut Polski na igrzyskach olimpijskich,Paryż,"reprezentacja Polski"
1926-10-17,cup,Pierwszy finał Pucharu Polski,Kraków,"Wisła Kraków;Sparta Lwów"
1927-04-02,league,Pierwszy mecz Ligi,Warszawa,"Warszawianka;Legia"
1927,championship,Wisła Kraków mistrzem w pierwszym sezonie Ligi,Polska,"Wisła Kraków"
1928,organization,Siedziba PZPN przeniesiona do Warszawy,Warszawa,"PZPN"
1933,league,Eksperymentalny podział ligi na dwie grupy,Polska,"Liga"
1934,world_cup,Debiut Polski w eliminacjach MŚ,Europa,"Polska"
1938-06-05,world_cup,Polska–Brazylia 5:6 po dogrywce,Strasburg,"Polska;Brazylia;Ernest Wilimowski"
1939-08-27,match,Polska–Węgry 4:2,Warszawa,"Polska;Węgry"
1939-09-01,war,Wybuch II wojny światowej,Polska,"polska piłka nożna"
